USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   28364   6076 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             6     2       0      0 0                   0 I [mm_percpu_wq]
root             7     2       0      0 0                   0 S [ksoftirqd/0]
root             8     2       0      0 0                   0 I [rcu_preempt]
root             9     2       0      0 0                   0 I [rcu_sched]
root            10     2       0      0 0                   0 I [rcu_bh]
root            11     2       0      0 0                   0 S [migration/0]
root            12     2       0      0 0                   0 S [cpuhp/0]
root            13     2       0      0 0                   0 S [cpuhp/1]
root            14     2       0      0 0                   0 S [migration/1]
root            15     2       0      0 0                   0 S [ksoftirqd/1]
root            17     2       0      0 0                   0 I [kworker/1:0H]
root            18     2       0      0 0                   0 S [cpuhp/2]
root            19     2       0      0 0                   0 S [migration/2]
root            20     2       0      0 0                   0 S [ksoftirqd/2]
root            21     2       0      0 0                   0 I [kworker/2:0]
root            22     2       0      0 0                   0 I [kworker/2:0H]
root            23     2       0      0 0                   0 S [cpuhp/3]
root            24     2       0      0 0                   0 S [migration/3]
root            25     2       0      0 0                   0 S [ksoftirqd/3]
root            27     2       0      0 0                   0 I [kworker/3:0H]
root            28     2       0      0 0                   0 S [cpuhp/4]
root            29     2       0      0 0                   0 S [migration/4]
root            30     2       0      0 0                   0 S [ksoftirqd/4]
root            32     2       0      0 0                   0 I [kworker/4:0H]
root            34     2       0      0 0                   0 S [kdevtmpfs]
root            35     2       0      0 0                   0 I [kworker/u10:1]
root            48     2       0      0 0                   0 I [kworker/1:1]
root           398     2       0      0 0                   0 S [oom_reaper]
root           399     2       0      0 0                   0 I [writeback]
root           400     2       0      0 0                   0 S [kcompactd0]
root           402     2       0      0 0                   0 S [ksmd]
root           403     2       0      0 0                   0 S [khugepaged]
root           404     2       0      0 0                   0 I [crypto]
root           406     2       0      0 0                   0 I [kblockd]
root           451     2       0      0 0                   0 I [devfreq_wq]
root           463     2       0      0 0                   0 I [cfg80211]
root           466     2       0      0 0                   0 I [watchdogd]
root           530     2       0      0 0                   0 S [kauditd]
root           536     2       0      0 0                   0 S [kswapd0]
root           604     2       0      0 0                   0 I [kworker/u11:0]
root           694     2       0      0 0                   0 S [irq/31-ec700000]
root           695     2       0      0 0                   0 S [irq/32-ec700000]
root           696     2       0      0 0                   0 S [irq/33-ec700000]
root           697     2       0      0 0                   0 S [irq/34-ec700000]
root           698     2       0      0 0                   0 S [irq/35-ec700000]
root           699     2       0      0 0                   0 S [irq/36-ec700000]
root           700     2       0      0 0                   0 S [irq/37-ec700000]
root           701     2       0      0 0                   0 S [irq/38-ec700000]
root           702     2       0      0 0                   0 S [irq/39-ec700000]
root           703     2       0      0 0                   0 S [irq/40-ec700000]
root           704     2       0      0 0                   0 S [irq/41-ec700000]
root           705     2       0      0 0                   0 S [irq/42-ec700000]
root           706     2       0      0 0                   0 S [irq/43-ec700000]
root           707     2       0      0 0                   0 S [irq/44-ec700000]
root           708     2       0      0 0                   0 S [irq/45-ec700000]
