major minor  #blocks  name

   1        0       8192 ram0
 254        0  122142720 vda
 254        1     131072 vda1
 254        2     131072 vda2
 254        3    2621440 vda3
 254        4    2621440 vda4
 254        5       1024 vda5
 254        6       4096 vda6
 254        7      65536 vda7
 254        8    1048576 vda8
 254        9        512 vda9
 254       10        512 vda10
 254       11       1024 vda11
 254       12       4096 vda12
 254       13        512 vda13
 254       14        512 vda14
 254       15       1024 vda15
 259        0       1024 vda16
 259        1        512 vda17
 259        2        512 vda18
 259        3      32768 vda19
 259        4      32768 vda20
 259        5     131072 vda21
 259        6     131072 vda22
 259        7      16384 vda23
 259        8    2621440 vda24
 259        9    2621440 vda25
 259       10     786432 vda26
 259       11     786432 vda27
 259       12   12582912 vda28
 259       13   12582912 vda29
 259       14    3145728 vda30
 259       15    6815744 vda31
 259       16   44040192 vda32
 259       17   29180396 vda33
 254       16      32640 vdb
 254       17       4096 vdb1
 254       32      32640 vdc
 254       33       4096 vdc1
 253        0     524288 zram0
   8        0  120164352 sda
   8        1     204800 sda1
   8        2   20480000 sda2
