  PID  PPID NAME                        CMD            
    1     0 init                        init
    2     0 [kthreadd]                  kthreadd
    5     2 [kworker/u10:0]             kworker/u10:0
    6     2 [mm_percpu_wq]              mm_percpu_wq
    7     2 [ksoftirqd/0]               ksoftirqd/0
    8     2 [rcu_preempt]               rcu_preempt
    9     2 [rcu_sched]                 rcu_sched
   10     2 [rcu_bh]                    rcu_bh
   11     2 [migration/0]               migration/0
   12     2 [cpuhp/0]                   cpuhp/0
   13     2 [cpuhp/1]                   cpuhp/1
   14     2 [migration/1]               migration/1
   15     2 [ksoftirqd/1]               ksoftirqd/1
   17     2 [kworker/1:0H]              kworker/1:0H
   18     2 [cpuhp/2]                   cpuhp/2
   19     2 [migration/2]               migration/2
   20     2 [ksoftirqd/2]               ksoftirqd/2
   23     2 [cpuhp/3]                   cpuhp/3
   24     2 [migration/3]               migration/3
   25     2 [ksoftirqd/3]               ksoftirqd/3
   27     2 [kworker/3:0H]              kworker/3:0H
   28     2 [cpuhp/4]                   cpuhp/4
   29     2 [migration/4]               migration/4
   30     2 [ksoftirqd/4]               ksoftirqd/4
   32     2 [kworker/4:0H]              kworker/4:0H
   34     2 [kdevtmpfs]                 kdevtmpfs
   52     2 [kworker/u10:3]             kworker/u10:3
   75     2 [kworker/1:1]               kworker/1:1
  115     2 [oom_reaper]                oom_reaper
  129     2 [writeback]                 writeback
  147     2 [kcompactd0]                kcompactd0
  163     2 [ksmd]                      ksmd
  181     2 [khugepaged]                khugepaged
  225     2 [crypto]                    crypto
  407     2 [kblockd]                   kblockd
  452     2 [devfreq_wq]                devfreq_wq
  464     2 [cfg80211]                  cfg80211
  467     2 [watchdogd]                 watchdogd
  530     2 [kauditd]                   kauditd
  533     2 [kswapd0]                   kswapd0
  589     2 [kworker/u11:0]             kworker/u11:0
  686     2 [irq/31-ec700000]           irq/31-ec700000
  696     2 [irq/32-ec700000]           irq/32-ec700000
  697     2 [irq/33-ec700000]           irq/33-ec700000
  698     2 [irq/34-ec700000]           irq/34-ec700000
  699     2 [irq/35-ec700000]           irq/35-ec700000
  700     2 [irq/36-ec700000]           irq/36-ec700000
  701     2 [irq/37-ec700000]           irq/37-ec700000
  702     2 [irq/38-ec700000]           irq/38-ec700000
